CONFIGURATION
Simulation Duration: 5s
------------------------------------------------------------------------------------------------------------------------------------------------------------
algorithm            throughput (250 B)      throughput (1500 B)     throughput (3000 B)     throughput (7500 B)     throughput (15000 B)
------------------------------------------------------------------------------------------------------------------------------------------------------------
TcpNewReno           35.400 Mbit/s           52.278 Mbit/s           53.735 Mbit/s           55.388 Mbit/s           55.625 Mbit/s
TcpBic               35.029 Mbit/s           53.572 Mbit/s           54.305 Mbit/s           54.262 Mbit/s           55.100 Mbit/s
TcpHybla             35.056 Mbit/s           52.855 Mbit/s           53.420 Mbit/s           54.937 Mbit/s           55.550 Mbit/s
TcpHighSpeed         35.339 Mbit/s           52.843 Mbit/s           52.700 Mbit/s           55.375 Mbit/s           54.550 Mbit/s
TcpHtcp              35.150 Mbit/s           51.798 Mbit/s           53.115 Mbit/s           54.325 Mbit/s           55.175 Mbit/s
TcpVegas             28.494 Mbit/s           54.002 Mbit/s           55.500 Mbit/s           56.613 Mbit/s           55.325 Mbit/s
TcpScalable          35.238 Mbit/s           51.620 Mbit/s           53.220 Mbit/s           53.637 Mbit/s           55.125 Mbit/s
TcpVeno              35.020 Mbit/s           52.842 Mbit/s           53.955 Mbit/s           56.037 Mbit/s           55.550 Mbit/s
TcpYeah              35.847 Mbit/s           52.355 Mbit/s           53.925 Mbit/s           54.462 Mbit/s           55.650 Mbit/s
TcpIllinois          35.056 Mbit/s           52.365 Mbit/s           53.855 Mbit/s           54.963 Mbit/s           55.100 Mbit/s
TcpWestwood          35.267 Mbit/s           52.452 Mbit/s           53.585 Mbit/s           54.512 Mbit/s           55.825 Mbit/s
TcpWestwoodPlus      35.135 Mbit/s           53.540 Mbit/s           54.215 Mbit/s           54.312 Mbit/s           55.450 Mbit/s
TcpLedbat            35.418 Mbit/s           52.827 Mbit/s           53.500 Mbit/s           55.262 Mbit/s           54.925 Mbit/s
------------------------------------------------------------------------------------------------------------------------------------------------------------
